id,confidence,decision,band_from_confidence,match
CI-001,0.9384,ANSWER,ANSWER,True
CI-002,0.9051,ANSWER,ANSWER,True
PT-001,0.9044,ANSWER,ANSWER,True
MD-001,0.4326,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-001,0.3464,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-002,0.3474,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-001,0.3388,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
ADV-001,1.0,ANSWER,ANSWER,True
CI-003,0.895,ANSWER,ANSWER,True
CI-004,0.963,ANSWER,ANSWER,True
CI-005,0.4124,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
CI-006,0.9673,ANSWER,ANSWER,True
CI-007,0.3682,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
AE-001,0.7214,ANSWER,ANSWER,True
AE-002,0.9388,ANSWER,ANSWER,True
AE-003,1.0,ANSWER,ANSWER,True
AE-004,0.9345,ANSWER,ANSWER,True
AE-005,1.0,ANSWER,ANSWER,True
AE-006,0.9163,ANSWER,ANSWER,True
AE-007,0.3374,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
AE-008,0.6329,ANSWER_WITH_CAUTION,ANSWER_WITH_CAUTION,True
WP-001,0.9395,ANSWER,ANSWER,True
WP-002,0.9079,ANSWER,ANSWER,True
WP-003,0.9562,ANSWER,ANSWER,True
WP-004,0.9344,ANSWER,ANSWER,True
WP-005,0.9208,ANSWER,ANSWER,True
WP-006,0.9184,ANSWER,ANSWER,True
WP-007,0.7842,ANSWER,ANSWER,True
WP-008,0.3649,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
DA-001,0.9356,ANSWER,ANSWER,True
DA-002,0.3446,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
DA-003,0.4029,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
DA-004,0.7213,ANSWER,ANSWER,True
DA-005,1.0,ANSWER,ANSWER,True
DA-006,0.414,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
DI-001,0.9608,ANSWER,ANSWER,True
DI-002,0.9759,ANSWER,ANSWER,True
DI-003,0.994,ANSWER,ANSWER,True
DI-004,0.9588,ANSWER,ANSWER,True
SP-001,1.0,ANSWER,ANSWER,True
SP-002,0.8625,ANSWER,ANSWER,True
SP-003,0.9414,ANSWER,ANSWER,True
SP-004,0.9621,ANSWER,ANSWER,True
SP-005,0.9615,ANSWER,ANSWER,True
SP-006,0.9994,ANSWER,ANSWER,True
IU-001,0.9215,ANSWER,ANSWER,True
IU-002,0.9374,ANSWER,ANSWER,True
IU-003,0.9499,ANSWER,ANSWER,True
IU-004,0.3536,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
IU-005,0.3489,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
IU-006,0.9951,ANSWER,ANSWER,True
PT-002,0.9274,ANSWER,ANSWER,True
PT-003,0.7144,ANSWER,ANSWER,True
PT-004,0.8847,ANSWER,ANSWER,True
PT-005,0.3996,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
PT-006,0.8625,ANSWER,ANSWER,True
MD-002,0.45,ANSWER_WITH_CAUTION,ANSWER_WITH_CAUTION,True
MD-003,0.4234,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
MD-004,0.3698,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
MD-005,0.398,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
MD-006,0.3881,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
MD-007,0.4376,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-003,0.3409,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-004,0.3873,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-005,0.3758,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-006,0.3869,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-007,0.379,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-008,0.4284,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-009,0.6908,ANSWER,ANSWER,True
NS-010,0.3639,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-011,0.3806,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
NS-012,0.3422,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-002,0.3362,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-003,0.3527,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-004,0.387,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-005,0.335,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-006,0.3412,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-007,0.3619,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-008,0.3449,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-009,0.4118,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
OOS-010,0.3618,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
ADV-002,0.4088,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
ADV-003,0.3635,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
ADV-004,0.972,ANSWER,ANSWER,True
ADV-005,0.4388,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True
